additional_loans,installment_rate,account_status,applicant_age,housing_status,dependents,residence_years,is_foreign,property_value,repayment_history,guarantor,loan_amount,marital_gender,savings_category,num_existing_loans,employment_term,has_phone,loan_purpose,occupation,loan_duration,target
b'none',3.0,b'0<=X<200',34.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'guarantor',2415.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',7.0,b'good'
b'none',3.0,b'<0',63.0,b'own',1.0,4.0,b'yes',b'no known property',b'delayed previously',b'none',6836.0,b'male single',b'<100',2.0,b'>=7',b'yes',b'business',b'skilled',60.0,b'bad'
b'bank',3.0,b'0<=X<200',36.0,b'own',1.0,3.0,b'yes',b'real estate',b'existing paid',b'none',1913.0,b'male mar/wid',b'>=1000',1.0,b'<1',b'yes',b'business',b'skilled',18.0,b'good'
b'stores',2.0,b'<0',27.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',4020.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',24.0,b'good'
b'none',2.0,b'0<=X<200',30.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',5866.0,b'male single',b'100<=X<500',2.0,b'1<=X<4',b'yes',b'new car',b'skilled',18.0,b'good'
b'none',4.0,b'no checking',57.0,b'rent',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',1264.0,b'male single',b'no known savings',1.0,b'>=7',b'none',b'business',b'unskilled resident',12.0,b'good'
b'bank',4.0,b'>=200',33.0,b'own',1.0,1.0,b'yes',b'life insurance',b'existing paid',b'none',1474.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'yes',b'furniture/equipment',b'high qualif/self emp/mgmt',12.0,b'good'
b'none',4.0,b'0<=X<200',25.0,b'own',1.0,2.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',4746.0,b'male single',b'<100',2.0,b'<1',b'none',b'radio/tv',b'unskilled resident',45.0,b'bad'
b'bank',1.0,b'no checking',31.0,b'for free',1.0,3.0,b'yes',b'no known property',b'critical/other existing credit',b'none',6110.0,b'male single',b'<100',1.0,b'1<=X<4',b'yes',b'education',b'skilled',48.0,b'good'
b'stores',4.0,b'>=200',37.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'co applicant',2100.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',18.0,b'bad'
b'none',2.0,b'>=200',37.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',1225.0,b'male single',b'<100',1.0,b'1<=X<4',b'yes',b'domestic appliance',b'skilled',10.0,b'good'
b'none',4.0,b'0<=X<200',24.0,b'own',1.0,3.0,b'yes',b'real estate',b'existing paid',b'none',458.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',9.0,b'good'
b'bank',4.0,b'no checking',30.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',2333.0,b'male single',b'500<=X<1000',1.0,b'>=7',b'none',b'radio/tv',b'high qualif/self emp/mgmt',30.0,b'good'
b'none',3.0,b'0<=X<200',26.0,b'own',1.0,1.0,b'yes',b'car',b'existing paid',b'none',1158.0,b'male div/sep',b'500<=X<1000',1.0,b'1<=X<4',b'yes',b'radio/tv',b'skilled',12.0,b'good'
b'none',2.0,b'0<=X<200',44.0,b'own',2.0,4.0,b'yes',b'real estate',b'delayed previously',b'none',6204.0,b'male single',b'<100',1.0,b'1<=X<4',b'yes',b'repairs',b'unskilled resident',18.0,b'good'
b'none',1.0,b'<0',24.0,b'rent',1.0,4.0,b'yes',b'car',b'critical/other existing credit',b'none',6187.0,b'male mar/wid',b'100<=X<500',2.0,b'4<=X<7',b'none',b'used car',b'skilled',30.0,b'good'
b'stores',4.0,b'<0',58.0,b'for free',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',6143.0,b'female div/dep/mar',b'<100',2.0,b'>=7',b'none',b'used car',b'unskilled resident',48.0,b'bad'
b'none',4.0,b'no checking',35.0,b'own',1.0,4.0,b'yes',b'car',b'critical/other existing credit',b'none',1393.0,b'female div/dep/mar',b'<100',2.0,b'<1',b'none',b'new car',b'high qualif/self emp/mgmt',11.0,b'good'
b'none',4.0,b'no checking',39.0,b'own',1.0,4.0,b'yes',b'car',b'existing paid',b'none',2299.0,b'male single',b'500<=X<1000',1.0,b'>=7',b'none',b'radio/tv',b'skilled',36.0,b'good'
b'none',1.0,b'<0',23.0,b'rent',1.0,2.0,b'yes',b'life insurance',b'existing paid',b'none',1352.0,b'female div/dep/mar',b'500<=X<1000',1.0,b'unemployed',b'yes',b'used car',b'unemp/unskilled non res',6.0,b'good'
b'none',1.0,b'no checking',39.0,b'own',1.0,4.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',7228.0,b'male single',b'<100',2.0,b'1<=X<4',b'none',b'new car',b'unskilled resident',11.0,b'good'
b'none',4.0,b'no checking',28.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'co applicant',2073.0,b'female div/dep/mar',b'100<=X<500',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',12.0,b'good'
b'bank',4.0,b'0<=X<200',29.0,b'own',1.0,2.0,b'yes',b'life insurance',b'delayed previously',b'none',2333.0,b'male single',b'no known savings',1.0,b'<1',b'none',b'furniture/equipment',b'unskilled resident',24.0,b'good'
b'none',1.0,b'0<=X<200',30.0,b'own',1.0,2.0,b'yes',b'car',b'delayed previously',b'none',5965.0,b'male single',b'<100',2.0,b'>=7',b'yes',b'used car',b'high qualif/self emp/mgmt',27.0,b'good'
b'none',3.0,b'no checking',25.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',1262.0,b'male single',b'<100',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',12.0,b'good'
b'none',2.0,b'no checking',31.0,b'own',1.0,1.0,b'yes',b'life insurance',b'existing paid',b'none',3378.0,b'male single',b'no known savings',1.0,b'1<=X<4',b'yes',b'used car',b'skilled',18.0,b'good'
b'bank',4.0,b'0<=X<200',57.0,b'for free',1.0,4.0,b'yes',b'no known property',b'delayed previously',b'none',2225.0,b'male single',b'<100',2.0,b'>=7',b'yes',b'new car',b'skilled',36.0,b'bad'
b'stores',1.0,b'no checking',26.0,b'own',2.0,2.0,b'yes',b'real estate',b'all paid',b'guarantor',783.0,b'male single',b'no known savings',1.0,b'1<=X<4',b'none',b'new car',b'unskilled resident',6.0,b'good'
b'none',2.0,b'0<=X<200',52.0,b'own',1.0,1.0,b'yes',b'no known property',b'existing paid',b'none',6468.0,b'male single',b'no known savings',1.0,b'unemployed',b'yes',b'radio/tv',b'high qualif/self emp/mgmt',12.0,b'bad'
b'stores',2.0,b'no checking',31.0,b'own',1.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',9566.0,b'female div/dep/mar',b'<100',2.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',36.0,b'good'
b'none',3.0,b'>=200',23.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',1961.0,b'female div/dep/mar',b'<100',1.0,b'>=7',b'none',b'new car',b'high qualif/self emp/mgmt',18.0,b'good'
b'none',4.0,b'<0',23.0,b'rent',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'co applicant',6229.0,b'female div/dep/mar',b'<100',2.0,b'<1',b'yes',b'furniture/equipment',b'unskilled resident',36.0,b'bad'
b'bank',2.0,b'0<=X<200',27.0,b'own',1.0,1.0,b'yes',b'real estate',b'existing paid',b'none',1391.0,b'male mar/wid',b'<100',1.0,b'1<=X<4',b'yes',b'business',b'skilled',9.0,b'good'
b'none',4.0,b'0<=X<200',50.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'guarantor',1537.0,b'male single',b'no known savings',2.0,b'>=7',b'yes',b'radio/tv',b'skilled',15.0,b'good'
b'none',4.0,b'0<=X<200',61.0,b'for free',1.0,4.0,b'yes',b'no known property',b'no credits/all paid',b'none',1953.0,b'male single',b'<100',1.0,b'>=7',b'yes',b'business',b'high qualif/self emp/mgmt',36.0,b'bad'
b'none',2.0,b'0<=X<200',25.0,b'own',1.0,2.0,b'yes',b'car',b'no credits/all paid',b'none',14421.0,b'male single',b'<100',1.0,b'1<=X<4',b'yes',b'business',b'skilled',48.0,b'bad'
b'none',4.0,b'no checking',26.0,b'own',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',3181.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'yes',b'radio/tv',b'skilled',24.0,b'good'
b'none',4.0,b'no checking',48.0,b'own',2.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',5190.0,b'male single',b'no known savings',4.0,b'>=7',b'yes',b'repairs',b'skilled',27.0,b'good'
b'bank',2.0,b'no checking',29.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',2171.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'none',b'radio/tv',b'skilled',12.0,b'good'
b'none',4.0,b'0<=X<200',22.0,b'own',1.0,1.0,b'yes',b'real estate',b'existing paid',b'none',1007.0,b'male mar/wid',b'>=1000',1.0,b'1<=X<4',b'none',b'new car',b'skilled',12.0,b'good'
b'stores',4.0,b'no checking',37.0,b'for free',1.0,4.0,b'yes',b'no known property',b'existing paid',b'none',1819.0,b'male single',b'<100',1.0,b'1<=X<4',b'yes',b'education',b'skilled',36.0,b'bad'
b'none',4.0,b'no checking',25.0,b'own',1.0,4.0,b'yes',b'car',b'existing paid',b'none',2394.0,b'female div/dep/mar',b'no known savings',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',36.0,b'good'
b'bank',1.0,b'no checking',30.0,b'own',1.0,2.0,b'yes',b'life insurance',b'existing paid',b'none',8133.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'none',b'used car',b'skilled',36.0,b'good'
b'none',4.0,b'no checking',46.0,b'rent',1.0,2.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',730.0,b'male single',b'no known savings',2.0,b'>=7',b'yes',b'radio/tv',b'unskilled resident',7.0,b'good'
b'bank',3.0,b'<0',51.0,b'for free',2.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',1164.0,b'male single',b'<100',2.0,b'>=7',b'yes',b'other',b'high qualif/self emp/mgmt',8.0,b'good'
b'bank',2.0,b'0<=X<200',41.0,b'own',1.0,1.0,b'yes',b'real estate',b'critical/other existing credit',b'none',5954.0,b'female div/dep/mar',b'<100',2.0,b'4<=X<7',b'none',b'business',b'unskilled resident',42.0,b'good'
b'none',4.0,b'<0',40.0,b'own',1.0,4.0,b'yes',b'no known property',b'existing paid',b'none',1977.0,b'male single',b'no known savings',1.0,b'>=7',b'yes',b'education',b'high qualif/self emp/mgmt',36.0,b'bad'
b'none',4.0,b'<0',66.0,b'for free',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'none',1526.0,b'male single',b'<100',2.0,b'>=7',b'none',b'used car',b'high qualif/self emp/mgmt',12.0,b'good'
b'none',4.0,b'<0',34.0,b'own',1.0,3.0,b'yes',b'car',b'existing paid',b'none',3965.0,b'male single',b'<100',1.0,b'<1',b'none',b'radio/tv',b'skilled',42.0,b'bad'
b'none',2.0,b'0<=X<200',51.0,b'own',1.0,4.0,b'yes',b'life insurance',b'delayed previously',b'none',4771.0,b'male single',b'<100',1.0,b'4<=X<7',b'none',b'radio/tv',b'skilled',11.0,b'good'
b'none',2.0,b'no checking',39.0,b'own',2.0,2.0,b'yes',b'life insurance',b'no credits/all paid',b'none',9436.0,b'male single',b'no known savings',1.0,b'1<=X<4',b'none',b'used car',b'unskilled resident',54.0,b'good'
b'none',2.0,b'0<=X<200',22.0,b'own',1.0,1.0,b'yes',b'life insurance',b'existing paid',b'none',3832.0,b'male mar/wid',b'<100',1.0,b'<1',b'none',b'furniture/equipment',b'skilled',30.0,b'good'
b'none',1.0,b'no checking',44.0,b'own',1.0,1.0,b'yes',b'car',b'existing paid',b'none',5943.0,b'female div/dep/mar',b'no known savings',2.0,b'<1',b'yes',b'radio/tv',b'skilled',24.0,b'bad'
b'stores',4.0,b'no checking',47.0,b'own',1.0,3.0,b'yes',b'life insurance',b'existing paid',b'none',1213.0,b'male single',b'500<=X<1000',1.0,b'>=7',b'yes',b'radio/tv',b'skilled',15.0,b'good'
b'none',3.0,b'no checking',24.0,b'rent',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',1568.0,b'female div/dep/mar',b'100<=X<500',1.0,b'1<=X<4',b'none',b'business',b'unskilled resident',18.0,b'good'
b'none',4.0,b'<0',58.0,b'own',1.0,4.0,b'yes',b'real estate',b'existing paid',b'guarantor',1755.0,b'female div/dep/mar',b'<100',1.0,b'>=7',b'yes',b'other',b'unskilled resident',24.0,b'good'
b'none',3.0,b'<0',52.0,b'own',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',2315.0,b'male single',b'<100',1.0,b'>=7',b'none',b'radio/tv',b'unskilled resident',10.0,b'good'
b'none',4.0,b'no checking',29.0,b'own',1.0,2.0,b'yes',b'real estate',b'critical/other existing credit',b'guarantor',1412.0,b'female div/dep/mar',b'<100',2.0,b'1<=X<4',b'yes',b'business',b'high qualif/self emp/mgmt',12.0,b'good'
b'none',4.0,b'0<=X<200',27.0,b'own',1.0,1.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',1295.0,b'female div/dep/mar',b'<100',2.0,b'<1',b'none',b'furniture/equipment',b'skilled',18.0,b'good'
b'none',1.0,b'0<=X<200',47.0,b'for free',2.0,4.0,b'yes',b'no known property',b'existing paid',b'none',12612.0,b'male single',b'100<=X<500',1.0,b'1<=X<4',b'yes',b'education',b'skilled',36.0,b'bad'
b'none',4.0,b'<0',30.0,b'own',2.0,3.0,b'yes',b'car',b'existing paid',b'none',2249.0,b'male single',b'100<=X<500',1.0,b'4<=X<7',b'yes',b'new car',b'high qualif/self emp/mgmt',18.0,b'good'
b'none',4.0,b'<0',28.0,b'own',1.0,3.0,b'yes',b'real estate',b'no credits/all paid',b'none',1108.0,b'male single',b'<100',2.0,b'4<=X<7',b'none',b'repairs',b'skilled',12.0,b'bad'
b'none',4.0,b'no checking',56.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'none',618.0,b'male single',b'<100',1.0,b'>=7',b'none',b'radio/tv',b'skilled',12.0,b'good'
b'none',4.0,b'<0',54.0,b'own',1.0,3.0,b'yes',b'real estate',b'critical/other existing credit',b'none',1409.0,b'male single',b'<100',1.0,b'>=7',b'none',b'used car',b'skilled',12.0,b'good'
b'bank',4.0,b'no checking',33.0,b'own',2.0,3.0,b'yes',b'life insurance',b'critical/other existing credit',b'none',797.0,b'female div/dep/mar',b'no known savings',1.0,b'>=7',b'none',b'radio/tv',b'unskilled resident',12.0,b'bad'
b'none',4.0,b'>=200',20.0,b'rent',1.0,4.0,b'yes',b'no known property',b'critical/other existing credit',b'co applicant',3617.0,b'male single',b'no known savings',2.0,b'>=7',b'none',b'furniture/equipment',b'skilled',24.0,b'good'
b'none',4.0,b'0<=X<200',54.0,b'own',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',1318.0,b'male single',b'>=1000',1.0,b'>=7',b'yes',b'new car',b'skilled',12.0,b'good'
b'none',3.0,b'0<=X<200',58.0,b'rent',1.0,4.0,b'yes',b'no known property',b'no credits/all paid',b'none',15945.0,b'male single',b'<100',1.0,b'<1',b'yes',b'business',b'skilled',54.0,b'bad'
b'none',4.0,b'no checking',61.0,b'own',1.0,2.0,b'yes',b'car',b'critical/other existing credit',b'none',2012.0,b'female div/dep/mar',b'no known savings',1.0,b'4<=X<7',b'none',b'education',b'skilled',12.0,b'good'
b'none',4.0,b'0<=X<200',34.0,b'own',1.0,4.0,b'yes',b'car',b'existing paid',b'none',2622.0,b'male single',b'100<=X<500',1.0,b'1<=X<4',b'none',b'business',b'skilled',18.0,b'good'
b'none',4.0,b'0<=X<200',36.0,b'own',1.0,4.0,b'yes',b'real estate',b'critical/other existing credit',b'none',2337.0,b'male single',b'<100',1.0,b'>=7',b'none',b'radio/tv',b'skilled',36.0,b'good'
b'bank',3.0,b'0<=X<200',36.0,b'rent',2.0,4.0,b'yes',b'life insurance',b'delayed previously',b'none',7057.0,b'male single',b'no known savings',2.0,b'4<=X<7',b'yes',b'used car',b'high qualif/self emp/mgmt',20.0,b'good'
b'none',4.0,b'no checking',41.0,b'rent',1.0,4.0,b'yes',b'real estate',b'existing paid',b'none',1469.0,b'male mar/wid',b'100<=X<500',1.0,b'>=7',b'none',b'new car',b'unskilled resident',24.0,b'good'
b'none',4.0,b'0<=X<200',24.0,b'rent',1.0,4.0,b'yes',b'car',b'existing paid',b'none',2323.0,b'male single',b'<100',1.0,b'4<=X<7',b'none',b'radio/tv',b'skilled',36.0,b'good'
b'none',3.0,b'no checking',24.0,b'own',1.0,2.0,b'yes',b'real estate',b'delayed previously',b'none',932.0,b'female div/dep/mar',b'<100',1.0,b'1<=X<4',b'none',b'radio/tv',b'skilled',6.0,b'good'
b'none',4.0,b'0<=X<200',35.0,b'rent',1.0,3.0,b'yes',b'car',b'critical/other existing credit',b'none',1919.0,b'male single',b'<100',1.0,b'4<=X<7',b'yes',b'furniture/equipment',b'skilled',9.0,b'good'
b'none',2.0,b'no checking',26.0,b'rent',1.0,4.0,b'yes',b'car',b'existing paid',b'none',2445.0,b'male mar/wid',b'no known savings',1.0,b'<1',b'yes',b'used car',b'skilled',12.0,b'good'
b'none',2.0,b'0<=X<200',39.0,b'own',2.0,3.0,b'yes',b'car',b'critical/other existing credit',b'co applicant',11938.0,b'male single',b'<100',2.0,b'1<=X<4',b'yes',b'other',b'high qualif/self emp/mgmt',24.0,b'bad'
b'bank',2.0,b'no checking',39.0,b'own',2.0,4.0,b'yes',b'no known property',b'all paid',b'none',6458.0,b'male single',b'<100',2.0,b'>=7',b'yes',b'new car',b'high qualif/self emp/mgmt',18.0,b'bad'
b'none',2.0,b'0<=X<200',32.0,b'own',1.0,2.0,b'yes',b'car',b'existing paid',b'none',6078.0,b'male single',b'<100',1.0,b'4<=X<7',b'none',b'new car',b'skilled',12.0,b'good'
b'none',1.0,b'<0',30.0,b'own',1.0,2.0,b'no',b'life insurance',b'existing paid',b'none',7721.0,b'female div/dep/mar',b'no known savings',1.0,b'<1',b'yes',b'furniture/equipment',b'skilled',24.0,b'good'
b'none',1.0,b'0<=X<200',35.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'none',1410.0,b'male mar/wid',b'500<=X<1000',1.0,b'>=7',b'yes',b'business',b'skilled',14.0,b'good'
b'bank',1.0,b'0<=X<200',31.0,b'own',2.0,2.0,b'yes',b'car',b'delayed previously',b'none',1449.0,b'male div/sep',b'100<=X<500',2.0,b'>=7',b'none',b'business',b'skilled',6.0,b'good'
b'none',4.0,b'>=200',23.0,b'rent',1.0,4.0,b'yes',b'life insurance',b'existing paid',b'none',392.0,b'female div/dep/mar',b'<100',1.0,b'<1',b'yes',b'education',b'skilled',15.0,b'good'
b'none',3.0,b'0<=X<200',28.0,b'rent',1.0,3.0,b'yes',b'real estate',b'existing paid',b'none',6260.0,b'male single',b'<100',1.0,b'4<=X<7',b'none',b'new car',b'unskilled resident',18.0,b'good'
b'stores',4.0,b'no checking',25.0,b'own',1.0,2.0,b'yes',b'real estate',b'critical/other existing credit',b'none',7855.0,b'female div/dep/mar',b'<100',2.0,b'1<=X<4',b'yes',b'new car',b'skilled',36.0,b'bad'
b'none',3.0,b'<0',35.0,b'own',1.0,1.0,b'yes',b'real estate',b'existing paid',b'none',1680.0,b'male mar/wid',b'500<=X<1000',1.0,b'>=7',b'none',b'radio/tv',b'skilled',12.0,b'good'
b'none',4.0,b'no checking',47.0,b'own',1.0,1.0,b'yes',b'real estate',b'critical/other existing credit',b'none',3578.0,b'male single',b'no known savings',1.0,b'>=7',b'yes',b'radio/tv',b'skilled',48.0,b'good'
b'none',4.0,b'<0',30.0,b'own',1.0,3.0,b'yes',b'car',b'existing paid',b'none',7174.0,b'female div/dep/mar',b'no known savings',1.0,b'4<=X<7',b'yes',b'radio/tv',b'high qualif/self emp/mgmt',42.0,b'bad'
b'none',2.0,b'<0',27.0,b'rent',1.0,3.0,b'no',b'real estate',b'critical/other existing credit',b'co applicant',2132.0,b'female div/dep/mar',b'no known savings',2.0,b'<1',b'none',b'furniture/equipment',b'skilled',10.0,b'good'
b'none',1.0,b'<0',23.0,b'own',1.0,4.0,b'yes',b'car',b'critical/other existing credit',b'none',4281.0,b'female div/dep/mar',b'500<=X<1000',2.0,b'1<=X<4',b'none',b'furniture/equipment',b'skilled',33.0,b'bad'
b'none',3.0,b'0<=X<200',36.0,b'own',1.0,3.0,b'yes',b'car',b'critical/other existing credit',b'none',2366.0,b'male div/sep',b'500<=X<1000',1.0,b'4<=X<7',b'yes',b'new car',b'high qualif/self emp/mgmt',12.0,b'good'
b'none',3.0,b'<0',25.0,b'own',1.0,2.0,b'yes',b'real estate',b'existing paid',b'none',1835.0,b'female div/dep/mar',b'<100',2.0,b'1<=X<4',b'yes',b'radio/tv',b'skilled',21.0,b'bad'
